gt,exp,err
11.43,10.799999999999999,-0.6300000000000008
11.37,10.799999999999999,-0.5700000000000003
11.25,10.799999999999999,-0.45000000000000107
11.12,10.693391171155755,-0.42660882884424467
11.07,10.686133820061311,-0.3838661799386891
11.0,10.676113932605237,-0.32388606739476344
10.93,10.666877414160853,-0.26312258583914705
10.87,10.658457103690205,-0.21154289630979406
10.75,10.638610148767983,-0.11138985123201728
10.62,10.505225740629733,-0.11477425937026631
10.57,10.491244824981772,-0.07875517501822848
10.5,10.38707404175812,-0.11292595824187934
10.43,10.367149163924736,-0.06285083607526332
10.37,10.242716336446447,-0.12728366355355192
10.25,10.197191440518838,-0.052808559481162476
10.12,10.15041529048666,0.03041529048666014
10.07,10.131752808059455,0.06175280805945427
10.0,10.105117048339475,0.10511704833947455
9.93,9.99744252429812,0.06744252429812114
9.87,9.973130851215375,0.10313085121537569
9.75,9.717178723991072,-0.032821276008927924
9.62,9.66747991119145,0.04747991119145034
9.57,9.648637249033818,0.07863724903381808
9.5,9.533544319945907,0.03354431994590712
9.43,9.510167656834884,0.08016765683488458
9.37,9.251473900062722,-0.11852609993727725
9.25,9.206852745206243,-0.04314725479375703
9.12,9.075179972397306,-0.0448200276026931
9.07,9.05799754531926,-0.012002454680740016
9.0,9.030615675913653,0.030615675913653106
8.93,9.010881901666972,0.08088190166697196
8.87,8.985380891233824,0.11538089123382456
8.75,8.9395825348599,0.18958253485990006
8.62,8.80870538112672,0.18870538112672008
8.57,8.481211582448188,-0.08878841755181277
8.5,8.465746729244428,-0.034253270755572274
8.43,8.454616694195,0.02461669419500012
8.37,8.438900739838873,0.0689007398388739
8.25,8.412840862176223,0.16284086217622296
8.12,8.275894173029226,0.15589417302922648
8.07,8.258226176357843,0.18822617635784233
8.0,8.234072642364769,0.23407264236476877
7.93,8.21324967696205,0.2832496769620505
7.87,7.971794628075648,0.10179462807564832
7.75,7.927862366047239,0.17786236604723893
7.62,7.7949130887832005,0.17491308878320044
7.57,7.776970246012145,0.20697024601214498
7.5,7.6629908505856665,0.16299085058566654
7.43,7.639280702894701,0.20928070289470124
7.37,7.615536783214378,0.24553678321437822
7.25,7.568858924947475,0.3188589249474747
7.12,7.4359616552126235,0.3159616552126234
7.07,7.416604007341177,0.3466040073411767
7.0,7.3892909945021295,0.38929099450212945
6.93,7.091521681023331,0.16152168102333153
6.87,6.968833354460971,0.09883335446097075
6.75,6.813568357965455,0.06356835796545468
6.62,6.756571651367786,0.13657165136778548
6.57,6.73338190423417,0.16338190423416954
6.5,6.614410189629912,0.11441018962991212
6.43,6.582441896363412,0.15244189636341243
6.37,6.454756613835087,0.08475661383508726
6.25,5.898925766475029,-0.3510742335249706
6.12,5.856087041947867,-0.2639129580521331
6.07,5.837591090114838,-0.23240890988516227
6.0,5.815449951005059,-0.1845500489949412
5.93,5.789932041226759,-0.14006795877324052
5.87,5.773661837449091,-0.09633816255090899
5.75,5.642824820783813,-0.10717517921618658
5.62,5.621063706801691,0.001063706801691211
5.57,5.524072789533171,-0.04592721046682957
5.5,5.430187633340156,-0.06981236665984358
5.43,5.413957828672241,-0.01604217132775876
5.37,5.407406679763398,0.03740667976339829
5.25,5.386991283856506,0.13699128385650639
5.12,5.249912438144363,0.1299124381443626
5.07,5.226660942310533,0.1566609423105323
5.0,4.937963215750104,-0.062036784249896115
4.93,4.912340608156036,-0.01765939184396359
4.87,4.902412242879431,0.03241224287943112
4.75,4.863560257223577,0.11356025722357721
4.62,4.824370723067358,0.20437072306735793
4.57,4.629382981561255,0.059382981561254766
4.5,4.615649940456026,0.11564994045602628
4.43,4.284619495561396,-0.14538050443860406
4.37,4.260883810916815,-0.10911618908318488
4.25,4.2112923821214,-0.03870761787860033
4.12,4.074767219412139,-0.0452327805878614
4.07,4.050834472717969,-0.01916552728203147
4.0,3.760812587561712,-0.23918741243828778
3.93,3.7360751340635026,-0.1939248659364976
3.87,3.7064147697880307,-0.16358523021196936
3.75,3.5574923217787227,-0.19250767822127735
3.62,3.4007323489600165,-0.21926765103998358
3.57,3.3014921221733786,-0.2685078778266212
3.5,3.1679705240157445,-0.3320294759842555
3.43,3.1483893611288627,-0.28161063887113746
3.37,3.1274380293141446,-0.2425619706858555
3.25,2.985358879326716,-0.26464112067328394
3.12,2.933666043494762,-0.18633395650523799
3.07,2.9153959773301623,-0.15460402266983753
3.0,2.8004401251045463,-0.19955987489545368
