freq(GHz),Ground truth,Naive-MLP prediction,FF-MLP prediction
27.38,0.7636,0.7603,0.7673
27.4,0.7631,0.7591,0.7668
27.42,0.7627,0.7586,0.7664
27.44,0.7623,0.7577,0.7659
27.46,0.7619,0.7573,0.7655
27.48,0.7616,0.7574,0.7651
27.5,0.7613,0.7569,0.7648
27.52,0.761,0.7562,0.7645
27.54,0.7608,0.7558,0.7642
27.56,0.7606,0.7556,0.7639
27.58,0.7604,0.7559,0.7637
27.6,0.7602,0.7544,0.7635
27.62,0.7601,0.7546,0.7633
27.64,0.76,0.7537,0.7632
27.66,0.76,0.7545,0.7631
27.68,0.7599,0.7528,0.763
27.7,0.7599,0.7535,0.7629
27.72,0.76,0.7534,0.7629
27.74,0.76,0.7528,0.763
27.76,0.7602,0.754,0.763
27.78,0.7603,0.7529,0.7631
27.8,0.7605,0.7528,0.7632
27.82,0.7607,0.753,0.7634
27.84,0.7609,0.7541,0.7636
27.86,0.7611,0.7539,0.7638
27.88,0.7614,0.7532,0.764
27.9,0.7618,0.7544,0.7643
27.92,0.7621,0.7545,0.7646
27.94,0.7625,0.7551,0.765
27.96,0.7629,0.7556,0.7653
27.98,0.7634,0.7558,0.7658
28.0,0.7639,0.7571,0.7662
28.02,0.7644,0.7565,0.7667
28.04,0.7649,0.7571,0.7672
28.06,0.7655,0.7578,0.7678
28.08,0.7661,0.7585,0.7683
28.1,0.7668,0.7588,0.7689
28.12,0.7675,0.7603,0.7696
28.14,0.7682,0.7611,0.7703
28.16,0.7689,0.7624,0.771
28.18,0.7697,0.7628,0.7717
28.2,0.7705,0.7635,0.7725
28.22,0.7714,0.765,0.7733
28.24,0.7722,0.767,0.7742
28.26,0.7731,0.7673,0.7751
28.28,0.7741,0.7675,0.776
28.3,0.775,0.7692,0.7769
28.32,0.776,0.7708,0.7779
28.34,0.7771,0.7708,0.7789
28.36,0.7781,0.7734,0.78
28.38,0.7792,0.7742,0.781
28.4,0.7803,0.7755,0.7821
28.42,0.7815,0.7773,0.7833
28.44,0.7827,0.7783,0.7844
28.46,0.7839,0.7791,0.7857
28.48,0.7852,0.7826,0.7869
28.5,0.7864,0.7834,0.7882
28.52,0.7878,0.7843,0.7895
28.54,0.7891,0.7869,0.7908
28.56,0.7905,0.789,0.7922
28.58,0.7919,0.7902,0.7935
28.6,0.7933,0.7912,0.795
28.62,0.7948,0.794,0.7964
28.64,0.7963,0.7957,0.7979
28.66,0.7978,0.7968,0.7994
28.68,0.7993,0.7986,0.801
28.7,0.8009,0.8013,0.8025
28.72,0.8025,0.803,0.8041
28.74,0.8042,0.8054,0.8057
28.76,0.8058,0.8057,0.8074
28.78,0.8075,0.809,0.8091
28.8,0.8093,0.8109,0.8108
28.82,0.811,0.8137,0.8125
28.84,0.8128,0.8142,0.8143
28.86,0.8146,0.8174,0.8161
28.88,0.8164,0.82,0.8179
28.9,0.8183,0.8213,0.8198
28.92,0.8202,0.8239,0.8216
28.94,0.8221,0.8261,0.8235
28.96,0.824,0.8282,0.8255
28.98,0.8259,0.83,0.8274
29.0,0.8279,0.8327,0.8294
29.02,0.8299,0.8346,0.8313
29.04,0.8319,0.8369,0.8333
29.06,0.834,0.8392,0.8354
29.08,0.836,0.8408,0.8374
29.1,0.8381,0.844,0.8395
29.12,0.8402,0.8464,0.8416
29.14,0.8423,0.8472,0.8437
29.16,0.8445,0.8504,0.8458
29.18,0.8466,0.8525,0.8479
29.2,0.8488,0.855,0.8501
29.22,0.851,0.856,0.8523
29.24,0.8532,0.8594,0.8545
29.26,0.8554,0.8618,0.8566
29.28,0.8576,0.8639,0.8588
29.3,0.8599,0.8662,0.8611
29.32,0.8621,0.8683,0.8633
29.34,0.8644,0.8708,0.8655
29.36,0.8666,0.8732,0.8678
29.38,0.8689,0.8751,0.87
29.4,0.8712,0.8781,0.8723
29.42,0.8735,0.8809,0.8745
29.44,0.8758,0.8827,0.8768
29.46,0.878,0.8842,0.8791
29.48,0.8803,0.8869,0.8813
