Angle Difference,Prediction1 Error,Prediction2 Error
0.5,0.19196936828780253,0.16722138893948574
0.75,0.12397462840940125,0.10118383742095352
1.0,0.07333268098285714,0.06259718594295952
1.25,0.05595351723985299,0.05005854657575399
1.5,0.049969731245400766,0.05080107298662074
1.75,0.04363619129998345,0.0505570092882428
2.0,0.041702885006385436,0.049819051749917936
2.25,0.0350610577293307,0.042401685707750346
2.5,0.029416629452950382,0.03752356193282386
2.75,0.02842040797193605,0.03128752647402757
3.0,0.03369958700680052,0.030641973074148548
3.25,0.038671942689667414,0.03084894065110969
3.5,0.038832980733194744,0.03338572221672884
3.75,0.03694655033027594,0.03306201615423533
4.0,0.03655169027156011,0.03187903498081454
4.25,0.03709138688348947,0.030360078684745353
4.5,0.03526059721755145,0.03224959027038392
4.75,0.03489454258356658,0.03260439299984486
5.0,0.03307385582025807,0.03305828813480159
5.25,0.03275608888288737,0.028772362162466807
5.5,0.02926253858249852,0.03303359953489175
5.75,0.03339568687902455,0.030442675197874816
6.0,0.0333739558780362,0.035142351346558354
6.25,0.0355032378349372,0.032614854111088346
6.5,0.03370947460721173,0.0349066213165842
6.75,0.03759416405801411,0.03042961232308993
7.0,0.035855669552956326,0.03192217882853658
7.25,0.0380005335580301,0.028975985923796185
7.5,0.03678651464417802,0.03242145779528149
7.75,0.03751543891711489,0.032687821317845436
8.0,0.03542796349780437,0.03667319551189953
8.25,0.037277667042685654,0.03454153786829817
8.5,0.0356590602575744,0.035189008772043895
8.75,0.033195641887288095,0.030973164699658627
9.0,0.0326650630065373,0.034705632713862795
9.25,0.030155191877613903,0.035030961964441346
9.5,0.02897893137127688,0.03814400669033004
9.75,0.028774206391325864,0.032920508390074356
