Angle Difference,Prediction1 Error,Prediction2 Error
0.5,0.1827289269929347,0.16020215583884198
0.75,0.11372358351945878,0.09923579252284505
1.0,0.07832071661949158,0.0673797472251786
1.25,0.05716410759422512,0.061062949730290327
1.5,0.05114060461776961,0.061674422537308426
1.75,0.04568884623321618,0.06279666213826701
2.0,0.039907413703757624,0.05764917624551196
2.25,0.037043079214040604,0.051553802781326846
2.5,0.0379151369170064,0.04618138927788964
2.75,0.03943801724484991,0.04354446523246313
3.0,0.043585001911435835,0.03638084807703572
3.25,0.04714187361845154,0.038563296744009365
3.5,0.05043340727314356,0.03393637752532963
3.75,0.047602979280054546,0.03700468111783264
4.0,0.04527235283301426,0.03257232048572637
4.25,0.0359955793007826,0.03378278284500809
4.5,0.04001989898990043,0.03238151051511814
4.75,0.03761679679155352,0.03440387899938385
5.0,0.03841527629542994,0.03785739275652013
5.25,0.034262270138070414,0.040673372310561125
5.5,0.034978685047891395,0.041972692451543316
5.75,0.02989083238773878,0.037535070131222384
6.0,0.03700055675893217,0.036698148112039336
6.25,0.03417735397815707,0.03495117617504935
6.5,0.039088359001804796,0.038162310754551614
6.75,0.03749946658225623,0.03946357833988524
7.0,0.04040003594123953,0.041825215617815666
7.25,0.037960665244044706,0.043526198376308764
7.5,0.04121022172933497,0.04017350756205049
7.75,0.04146503889933231,0.03751248726621273
8.0,0.040901435305995264,0.041380538104041936
8.25,0.04379313078618822,0.039990532302087385
8.5,0.043933456818262655,0.03976880183319252
8.75,0.04318441301584241,0.037284460167090125
9.0,0.043447208116257054,0.04036454392024894
9.25,0.043103757089582015,0.035365104161459854
9.5,0.044914841726422246,0.04578170110604591
9.75,0.046095229419214415,0.04395641652601109
