gt,exp,err
11.5,11.25,-0.25
11.07,11.113753028974301,0.04375302897430089
11.02,10.993958581444645,-0.026041418555355023
11.0,10.990056861462257,-0.009943138537742868
10.79,10.824021979173157,0.034021979173157746
10.77,10.81759031271761,0.047590312717609606
10.52,10.743393635405159,0.22339363540515933
10.5,10.733239024606618,0.23323902460661827
10.469999999999999,10.723776532326223,0.2537765323262242
10.29,10.577235733686937,0.2872357336869378
10.27,10.574183530901749,0.3041835309017493
10.17,10.447935988807703,0.27793598880770354
10.02,10.40286017928149,0.3828601792814901
9.87,10.262033622118608,0.3920336221186087
9.79,10.240022851865781,0.45002285186578206
9.77,10.236328258613327,0.46632825861332705
9.57,9.941837241518954,0.3718372415189535
9.52,9.92548908235553,0.4054890823555297
9.27,9.313270834782031,0.04327083478203164
9.02,9.214392624707493,0.1943926247074934
9.0,9.208907462045683,0.20890746204568345
8.969999999999999,9.10894443894631,0.1389444389463108
8.79,9.041989773332585,0.25198977333258554
8.77,9.033501960309898,0.2635019603098989
8.67,8.910122260049452,0.2401222600494517
8.52,8.770282497999478,0.25028249799947844
8.5,8.764351845906802,0.26435184590680194
8.37,8.723171859152853,0.35317185915285343
8.29,8.698201683680594,0.40820168368059484
8.27,8.692413483499386,0.4224134834993869
8.07,8.11816284575179,0.04816284575178997
8.02,8.098285056071003,0.07828505607100311
8.0,8.090136683700564,0.09013668370056394
7.77,8.007137001563393,0.23713700156339357
7.52,7.614421886257631,0.09442188625763137
7.5,7.604023880998412,0.10402388099841176
7.47,7.50517422319864,0.0351742231986405
7.289999999999999,7.438128613773323,0.14812861377332354
7.27,7.432974177079828,0.1629741770798283
7.17,7.397108599685023,0.22710859968502284
7.02,7.34800624834007,0.3280062483400705
7.0,7.095358428421129,0.09535842842112885
6.869999999999999,7.045343364338571,0.17534336433857156
6.77,7.010105212989288,0.24010521298928822
6.569999999999999,6.613568048472722,0.04356804847272233
6.52,6.503561477210049,-0.016438522789950838
6.289999999999999,6.084003085858399,-0.20599691414160048
6.27,6.076052996063893,-0.1939470039361062
6.02,5.865484607388087,-0.15451539261191272
6.0,5.7708700578580405,-0.22912994214195948
5.77,5.57646528484873,-0.1935347151512694
5.67,5.550118015529566,-0.11988198447043352
5.52,5.512024081502219,-0.00797591849778101
5.5,5.508814616851307,0.008814616851307022
5.369999999999999,5.376765284395056,0.006765284395056526
5.289999999999999,5.367963490938717,0.07796349093871768
5.27,5.3669645917738045,0.0969645917738049
5.069999999999999,5.108612409078109,0.0386124090781097
5.02,4.985892461757619,-0.034107538242381
5.0,4.977300324440698,-0.02269967555930208
4.789999999999999,4.807014779622584,0.017014779622584797
4.77,4.798300303665254,0.02830030366525449
4.5,4.693279526441103,0.1932795264411027
4.47,4.572381488976193,0.10238148897619315
4.27,4.302787661409928,0.032787661409928504
4.17,4.2759974943384425,0.10599749433844252
4.02,4.236896735835586,0.21689673583558644
4.0,4.230839156070349,0.2308391560703491
3.8699999999999997,4.199144486504398,0.3291444865043984
3.7899999999999996,3.8362879800910186,0.046287980091018976
3.77,3.830912554356642,0.060912554356642
3.57,3.6729183553238514,0.10291835532385152
3.52,3.6549579297604105,0.13495792976041043
3.5,3.6478787794798926,0.14787877947989259
3.29,3.5708745122403407,0.28087451224034066
3.27,3.564411554089487,0.29441155408948694
2.97,3.009855345160897,0.03985534516089695
2.79,2.945070742303015,0.15507074230301487
2.77,2.937414682018609,0.1674146820186091
2.52,2.836520811985185,0.316520811985185
2.5,2.8287166213206607,0.3287166213206607
2.37,2.669224982280886,0.2992249822808857
2.29,2.455518851532709,0.16551885153270884
2.27,2.4556187352323917,0.1856187352323917
