Ground truth1,Ground truth2,Prediction1,Prediction2
-7.77,-7.27,-8.032903,-6.8807707
-7.98,-7.48,-8.307161,-7.0999417
-8.0,-7.5,-8.33398,-7.11499
-8.25,-7.75,-8.695946,-7.2872753
-8.27,-7.77,-8.721935,-7.3039193
-8.48,-7.98,-8.88597,-7.572269
-8.5,-8.0,-8.886168,-7.624881
-8.75,-8.25,-8.970009,-7.98058
-8.77,-8.27,-8.995354,-7.9709334
-8.98,-8.48,-9.135745,-8.2149935
-9.0,-8.5,-9.144003,-8.268956
-9.25,-8.75,-9.428818,-8.480811
-9.27,-8.77,-9.466951,-8.483357
-9.48,-8.98,-9.500413,-8.7536545
-9.5,-9.0,-9.488251,-8.765729
-9.75,-9.25,-9.593526,-9.064797
-9.77,-9.27,-9.607311,-9.113659
-9.98,-9.48,-9.82215,-9.358938
-10.0,-9.5,-9.846704,-9.356338
-10.25,-9.75,-10.24118,-9.618526
-10.27,-9.77,-10.245049,-9.661729
-10.48,-9.98,-10.668429,-9.86553
-10.5,-10.0,-10.720911,-9.835421
-10.75,-10.25,-11.227291,-10.027878
-10.77,-10.27,-11.229457,-10.080685
-10.98,-10.48,-11.648519,-10.193634
-11.0,-10.5,-11.703274,-10.164493
-11.25,-10.75,-12.09151,-10.245138
-11.27,-10.77,-12.05078,-10.237316
-11.48,-10.98,-12.31727,-10.201755
-11.5,-11.0,-12.347553,-10.20557
-11.75,-11.25,-12.522023,-10.1145
