Angle Difference,Prediction1 Error,Prediction2 Error
0.5,0.22719364149544066,0.26914710586361346
0.75,0.16120595246719913,0.19574239333914653
1.0,0.11738561559623141,0.13493409519375502
1.25,0.09663197512626652,0.10768233957290649
1.5,0.10104076424160524,0.09206808068577386
1.75,0.10245258939893627,0.08487116593715041
2.0,0.10936238850647285,0.0835558273033662
2.25,0.10618292399330774,0.07890576222699555
2.5,0.1045032340095111,0.07669057767159543
2.75,0.09065185082470711,0.07310788001202363
3.0,0.08020010411492025,0.07498723791471655
3.25,0.0639800438116181,0.07945630878022632
3.5,0.05518680063207094,0.07944790377515429
3.75,0.053686684881487146,0.08298702098477273
4.0,0.059329255004637066,0.0781082565763632
4.25,0.06495028527367189,0.07485126992724592
4.5,0.06896123188493496,0.06485269544103223
4.75,0.0681074999141044,0.059104685459007225
5.0,0.06988051470523604,0.04698477619254646
5.25,0.07189634047188123,0.04811826332465753
5.5,0.07499051182755927,0.04954777254877501
5.75,0.0771303504919834,0.056987259953999725
6.0,0.07723581880476414,0.06100117629621091
6.25,0.07856895947456355,0.06468734817593193
6.5,0.0766739336899177,0.06396310579836671
6.75,0.07481281904773854,0.06260818742613765
7.0,0.06920784013567807,0.05831726787312668
7.25,0.05914161251285885,0.06193458551027657
7.5,0.05688016456556831,0.05763484263165121
7.75,0.05867227542448826,0.06053407105003928
8.0,0.0674961002426253,0.056627183174560156
8.25,0.08107850769487755,0.056972637011223584
8.5,0.08519661306994304,0.0580683432102204
8.75,0.08895070439836258,0.05591771005547577
9.0,0.08889891685113403,0.06027790033605685
9.25,0.08634289643785982,0.05804437379579296
9.5,0.07942123061308837,0.06291724749503697
9.75,0.07424134089567962,0.06324857264478637
