f1_db,f2_db,f3_db,angle
2.2,3.47,2.23,-2.15
1.96,3.24,2.56,-2.1
1.71,3.0,2.89,-2.05
1.47,2.77,3.23,-2.0
1.23,2.53,3.58,-1.95
0.98,2.3,3.93,-1.9
0.74,2.06,4.29,-1.85
0.49,1.82,4.13,-1.8
0.25,1.59,3.83,-1.75
0.0,1.35,3.52,-1.7
0.25,1.11,3.22,-1.65
0.51,0.87,2.93,-1.6
0.76,0.62,2.63,-1.55
1.02,0.38,2.34,-1.5
1.28,0.13,2.05,-1.45
1.55,0.12,1.76,-1.4
1.82,0.37,1.47,-1.35
2.09,0.63,1.18,-1.3
2.37,0.89,0.9,-1.25
2.65,1.16,0.61,-1.2
2.94,1.43,0.32,-1.15
2.95,1.71,0.03,-1.1
2.72,1.99,0.27,-1.05
2.5,2.27,0.57,-1.0
2.28,2.57,0.87,-0.95
2.06,2.86,1.17,-0.9
1.84,3.17,1.48,-0.85
1.63,3.03,1.79,-0.8
1.42,2.84,2.11,-0.75
1.21,2.64,2.43,-0.7
1.0,2.45,2.76,-0.65
0.79,2.26,3.1,-0.6
0.59,2.08,3.44,-0.55
0.38,1.89,3.8,-0.5
0.17,1.7,4.16,-0.45
0.03,1.51,4.37,-0.4
0.24,1.33,4.07,-0.35
0.44,1.14,3.77,-0.3
0.65,0.96,3.48,-0.25
0.85,0.77,3.2,-0.2
1.06,0.59,2.91,-0.15
1.27,0.4,2.63,-0.1
1.48,0.21,2.35,-0.05
1.69,0.03,2.08,0.0
1.9,0.16,1.8,0.05
2.12,0.35,1.53,0.1
2.34,0.54,1.26,0.15
2.56,0.73,0.99,0.2
2.78,0.92,0.72,0.25
3.0,1.11,0.45,0.3
3.22,1.31,0.18,0.35
2.94,1.5,0.09,0.4
2.67,1.7,0.36,0.45
2.4,1.9,0.64,0.5
2.14,2.1,0.91,0.55
1.88,2.31,1.19,0.6
1.62,2.52,1.47,0.65
1.38,2.73,1.75,0.7
1.13,2.94,2.04,0.75
0.89,2.75,2.33,0.8
0.66,2.47,2.62,0.85
0.42,2.19,2.92,0.9
0.19,1.92,3.23,0.95
0.03,1.65,3.54,1.0
0.26,1.39,3.85,1.05
0.48,1.14,4.18,1.1
0.7,0.89,4.3,1.15
0.92,0.65,3.89,1.2
1.14,0.41,3.49,1.25
1.35,0.17,3.1,1.3
1.56,0.06,2.72,1.35
1.78,0.29,2.35,1.4
1.99,0.51,1.99,1.45
2.2,0.73,1.64,1.5
2.41,0.95,1.3,1.55
2.62,1.17,0.97,1.6
2.83,1.38,0.64,1.65
3.04,1.6,0.32,1.7
3.25,1.81,0.0,1.75
3.47,2.01,0.31,1.8
3.68,2.22,0.62,1.85
3.85,2.42,0.93,1.9
3.55,2.63,1.23,1.95
3.27,2.83,1.53,2.0
2.99,3.03,1.82,2.05
2.71,3.24,2.12,2.1
2.44,3.44,2.41,2.15
2.17,3.64,2.71,2.2
1.91,3.84,3.0,2.25
1.65,4.04,3.29,2.3
1.39,3.97,3.59,2.35
1.13,3.65,3.88,2.4
0.88,3.34,4.18,2.45
0.63,3.04,4.48,2.5
0.38,2.74,4.78,2.55
0.13,2.45,5.09,2.6
0.12,2.16,5.39,2.65
