Angle Difference,Prediction1 Error,Prediction2 Error
0.5,0.29104874467072284,0.30665284393922143
0.75,0.21209197782951852,0.2395077033535294
1.0,0.15790316316816538,0.18547366151544786
1.25,0.12297150790691373,0.15696441001362274
1.5,0.12143959448572902,0.14741697065308373
1.75,0.12816846438429572,0.15329716354608539
2.0,0.13448750711457672,0.15715234373891077
2.25,0.15551576988641605,0.15732306068719817
2.5,0.15364136578781265,0.14801182976790836
2.75,0.167810745537281,0.13527367441427138
3.0,0.1520969494916327,0.12127818065854265
3.25,0.15496832713848205,0.10965858290835127
3.5,0.14100579053908585,0.0947025091648102
3.75,0.13792857527732846,0.09939931817352773
4.0,0.11542209102557252,0.11041892910614994
4.25,0.10853446752597122,0.12054302600713875
4.5,0.08972573534766237,0.13027242049055907
4.75,0.09916196528233978,0.14133031038861524
5.0,0.09787851253876814,0.13567404858969356
5.25,0.11774739381429308,0.12469065149088161
5.5,0.11199737823671763,0.10596027836203575
5.75,0.12315839197900558,0.09020800226264528
6.0,0.1055248789207355,0.07650908582919354
6.25,0.12082976954323903,0.07861536358084
6.5,0.10466745453722336,0.09588391107671407
6.75,0.1226579494336072,0.11663004580666035
7.0,0.11013849777705738,0.1267196047306061
7.25,0.11602284240000173,0.13543503031586154
7.5,0.11030799841034339,0.13283072418009742
7.75,0.12107854755595324,0.1253237281925976
8.0,0.10673189786172678,0.10814311861991883
8.25,0.11082896494096323,0.09527594764386452
8.5,0.10126247641444201,0.08754644562800727
8.75,0.09671062926451363,0.0960295140743256
9.0,0.09503613206296176,0.11222526665606529
9.25,0.11868791950160057,0.1339378269581959
9.5,0.11014782691640508,0.1425052274763584
9.75,0.13396370410919187,0.14606305052127153
