Ground truth1,Ground truth2,Prediction1,Prediction2
-2.07,-1.57,-2.3644164,-1.4511833
-2.13,-1.63,-2.4384513,-1.4816852
-2.25,-1.75,-2.5668275,-1.5905681
-2.38,-1.88,-2.7308114,-1.6113129
-2.43,-1.93,-2.7673929,-1.6896217
-2.5,-2.0,-2.8240993,-1.774996
-2.57,-2.07,-2.852162,-1.8097534
-2.63,-2.13,-2.8862014,-1.8768294
-2.75,-2.25,-2.9381115,-2.0936987
-2.88,-2.38,-3.029452,-2.1627762
-2.93,-2.43,-3.0398357,-2.2981799
-3.0,-2.5,-3.1124225,-2.3554358
-3.07,-2.57,-3.1837535,-2.3561985
-3.13,-2.63,-3.2530224,-2.3792644
-3.25,-2.75,-3.3635542,-2.5595086
-3.38,-2.88,-3.530156,-2.6664999
-3.43,-2.93,-3.556266,-2.8172464
-3.5,-3.0,-3.6665785,-2.8643935
-3.57,-3.07,-3.7816634,-2.9264066
-3.63,-3.13,-3.8141613,-2.986175
-3.75,-3.25,-3.8585691,-3.1566932
-3.88,-3.38,-3.9892106,-3.2808082
-3.93,-3.43,-3.9984019,-3.376919
-4.0,-3.5,-4.0821157,-3.385667
-4.07,-3.57,-4.174408,-3.4446547
-4.13,-3.63,-4.2649927,-3.4715493
-4.25,-3.75,-4.38829,-3.5126026
-4.38,-3.88,-4.613873,-3.5622027
-4.43,-3.93,-4.63607,-3.5596566
-4.5,-4.0,-4.7753677,-3.5660686
-4.57,-4.07,-4.9033575,-3.581085
-4.63,-4.13,-5.0377126,-3.5877123
-4.75,-4.25,-5.1809864,-3.6976705
-4.88,-4.38,-5.313813,-3.9337695
-4.93,-4.43,-5.278971,-3.9529827
-5.0,-4.5,-5.3235297,-4.125093
-5.07,-4.57,-5.369969,-4.2406907
-5.13,-4.63,-5.4206576,-4.3562346
-5.25,-4.75,-5.4677606,-4.531829
-5.38,-4.88,-5.5814605,-4.710905
-5.43,-4.93,-5.5773473,-4.733854
-5.5,-5.0,-5.6503115,-4.8379483
-5.57,-5.07,-5.7334113,-4.9013176
-5.63,-5.13,-5.7938514,-4.9548244
-5.75,-5.25,-5.9051905,-5.0605435
-5.88,-5.38,-6.0706105,-5.131143
-5.93,-5.43,-6.1098,-5.2124257
-6.0,-5.5,-6.2254004,-5.246104
-6.07,-5.57,-6.3328004,-5.252224
-6.13,-5.63,-6.411756,-5.26811
-6.25,-5.75,-6.5607867,-5.371534
-6.38,-5.88,-6.625233,-5.5501833
-6.43,-5.93,-6.6384273,-5.725623
-6.5,-6.0,-6.6978564,-5.842171
-6.57,-6.07,-6.756565,-5.910592
-6.63,-6.13,-6.7828517,-5.9959784
